Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Status_Cust_new
1,20.0,1.0,4.0,0.0,2.0,15.0,15.0,16.25,,26.0,65.0,10.0,28.0,46.0,4.0,4.0,16.0,A,0,76.0,M,H,87665.0,A
0,,3.0,3.0,0.0,0.0,10.0,13.33,13.33,,16.0,28.0,13.0,27.0,24.0,6.0,6.0,11.0,A,1,40.0,F,H,87665.0,A
1,25.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,17.0,17.0,10.0,15.0,13.0,4.0,6.0,5.0,F,0,80.0,M,H,87665.0,other
0,,4.0,5.0,3.0,3.0,25.0,21.25,22.0,20.0,17.0,33.0,13.0,32.0,31.0,6.0,15.0,13.0,A,0,,M,U,100910.0,A
0,,2.0,10.0,2.0,6.0,35.0,32.5,20.9,32.5,15.0,87.0,24.0,41.0,58.0,10.0,19.0,26.0,S,1,37.0,F,H,165543.0,S
0,,5.0,10.0,3.0,5.0,14.0,14.8,12.8,14.67,22.0,77.0,10.0,30.0,52.0,5.0,15.0,20.0,A,1,77.0,F,U,0.0,A
0,,1.0,10.0,0.0,4.0,20.0,20.0,14.0,,18.0,110.0,13.0,33.0,66.0,6.0,6.0,29.0,A,1,62.0,F,H,73899.0,A
0,,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,17.0,17.0,10.0,15.0,13.0,4.0,6.0,5.0,F,0,43.0,F,H,107105.0,other
0,,1.0,14.0,0.0,5.0,17.0,17.0,16.14,,26.0,81.0,11.0,32.0,61.0,5.0,5.0,23.0,A,1,41.0,M,U,0.0,A
0,,5.0,8.0,1.0,1.0,10.0,7.6,8.88,10.0,15.0,44.0,13.0,34.0,38.0,6.0,16.0,16.0,A,0,,M,U,0.0,A
1,25.0,2.0,11.0,2.0,10.0,30.0,27.5,17.0,27.5,16.0,124.0,9.0,20.0,53.0,4.0,11.0,26.0,A,1,67.0,F,H,107272.0,A
0,,3.0,7.0,1.0,5.0,16.0,14.0,11.43,12.0,18.0,76.0,13.0,33.0,57.0,6.0,15.0,21.0,A,1,79.0,M,H,107272.0,A
1,5.0,4.0,12.0,3.0,6.0,10.0,11.0,9.83,11.33,16.0,68.0,12.0,31.0,58.0,5.0,15.0,22.0,S,1,,M,H,107272.0,S
1,26.0,1.0,10.0,0.0,5.0,21.0,21.0,8.4,,17.0,130.0,12.0,24.0,58.0,5.0,5.0,26.0,A,1,68.0,M,H,66090.0,A
1,5.0,5.0,23.0,3.0,14.0,3.0,3.4,3.17,3.67,16.0,128.0,11.0,29.0,66.0,5.0,12.0,26.0,S,1,76.0,M,H,66090.0,S
0,,9.0,23.0,6.0,13.0,3.0,3.67,3.43,3.67,17.0,75.0,12.0,32.0,55.0,6.0,17.0,23.0,S,1,67.0,M,U,0.0,S
0,,2.0,32.0,1.0,17.0,25.0,25.0,9.44,25.0,17.0,126.0,22.0,44.0,137.0,9.0,20.0,56.0,A,1,27.0,M,H,66090.0,A
0,,1.0,4.0,1.0,3.0,25.0,25.0,16.25,25.0,17.0,57.0,13.0,32.0,45.0,6.0,15.0,17.0,A,0,,M,U,0.0,A
0,,1.0,1.0,0.0,0.0,15.0,15.0,15.0,,16.0,16.0,11.0,16.0,13.0,4.0,4.0,5.0,F,0,43.0,F,H,73671.0,other
0,,6.0,16.0,3.0,9.0,10.0,8.0,7.06,6.67,17.0,81.0,13.0,33.0,61.0,6.0,16.0,25.0,S,1,65.0,F,U,0.0,S
1,14.0,2.0,4.0,1.0,1.0,15.0,12.5,10.0,15.0,16.0,44.0,12.0,29.0,33.0,5.0,12.0,13.0,A,0,6.0,F,H,67047.0,A
1,15.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,17.0,17.0,10.0,15.0,14.0,3.0,5.0,5.0,F,0,69.0,F,U,67047.0,other
1,12.0,2.0,9.0,2.0,6.0,15.0,15.0,12.22,15.0,25.0,86.0,14.0,34.0,54.0,6.0,16.0,24.0,A,0,,M,U,76594.0,A
1,12.0,6.0,22.0,3.0,12.0,14.0,12.33,8.77,12.33,15.0,130.0,14.0,32.0,77.0,6.0,15.0,32.0,S,1,67.0,M,H,76594.0,S
0,,4.0,5.0,3.0,3.0,20.0,10.25,9.6,10.0,22.0,35.0,12.0,32.0,34.0,6.0,16.0,14.0,A,0,35.0,M,H,76594.0,A
1,15.0,2.0,7.0,1.0,2.0,10.0,12.5,9.0,15.0,17.0,45.0,27.0,47.0,62.0,6.0,15.0,16.0,A,0,,M,H,106020.0,A
1,15.0,2.0,9.0,1.0,6.0,15.0,15.5,9.56,16.0,26.0,81.0,10.0,30.0,54.0,5.0,16.0,23.0,A,1,71.0,F,U,0.0,A
0,,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,17.0,17.0,11.0,16.0,14.0,4.0,6.0,5.0,F,0,51.0,F,H,106020.0,other
0,,4.0,19.0,2.0,12.0,5.0,9.25,6.68,9.0,16.0,129.0,12.0,29.0,69.0,6.0,15.0,30.0,S,1,85.0,F,H,106020.0,S
1,10.0,8.0,25.0,5.0,14.0,10.0,8.0,5.88,8.0,21.0,104.0,12.0,32.0,72.0,6.0,17.0,29.0,S,1,70.0,F,H,40165.0,S
0,,7.0,9.0,4.0,4.0,10.0,8.57,7.78,8.5,17.0,44.0,7.0,27.0,33.0,4.0,13.0,13.0,S,1,,F,U,0.0,S
0,,2.0,7.0,1.0,2.0,25.0,10.0,10.71,10.0,18.0,69.0,13.0,31.0,50.0,6.0,14.0,18.0,A,0,,M,H,0.0,A
1,25.0,1.0,4.0,1.0,1.0,20.0,50.0,22.5,50.0,10.0,17.0,28.0,33.0,32.0,5.0,7.0,6.0,F,0,,F,H,89773.0,other
1,15.0,4.0,7.0,2.0,4.0,12.0,12.75,11.0,12.0,17.0,45.0,13.0,33.0,39.0,6.0,17.0,17.0,S,1,50.0,M,H,89773.0,S
0,,3.0,23.0,2.0,11.0,52.0,48.67,38.87,49.5,16.0,110.0,29.0,50.0,112.0,6.0,17.0,33.0,S,1,,M,H,87767.0,S
1,4.0,5.0,18.0,5.0,11.0,5.0,3.6,3.06,3.6,15.0,107.0,10.0,27.0,60.0,4.0,11.0,25.0,A,1,62.0,F,U,87767.0,A
0,,1.0,7.0,0.0,6.0,20.0,20.0,18.57,,17.0,104.0,13.0,31.0,65.0,6.0,6.0,27.0,A,0,53.0,F,H,87767.0,A
0,,1.0,4.0,1.0,3.0,20.0,20.0,23.75,20.0,17.0,76.0,13.0,26.0,50.0,6.0,12.0,19.0,A,1,69.0,M,H,87767.0,A
0,,3.0,4.0,2.0,3.0,20.0,20.0,17.5,20.0,25.0,42.0,11.0,32.0,33.0,6.0,16.0,15.0,A,0,,F,U,0.0,A
1,25.0,1.0,2.0,1.0,1.0,10.0,16.0,13.0,16.0,15.0,17.0,14.0,18.0,16.0,5.0,7.0,6.0,N,0,66.0,M,H,87767.0,other
0,,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,24.0,24.0,7.0,17.0,16.0,3.0,7.0,6.0,N,0,53.0,F,H,118487.0,other
1,40.0,1.0,3.0,0.0,1.0,25.0,40.0,35.0,,18.0,44.0,13.0,35.0,41.0,6.0,6.0,17.0,A,0,43.0,M,H,72452.0,A
0,,2.0,4.0,0.0,1.0,15.0,15.0,13.0,,26.0,45.0,9.0,30.0,35.0,4.0,4.0,15.0,A,0,49.0,F,H,59240.0,A
1,10.0,13.0,56.0,8.0,24.0,7.0,10.31,8.29,10.25,17.0,93.0,35.0,57.0,147.0,11.0,22.0,42.0,S,1,60.0,F,H,54341.0,S
1,25.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,21.0,21.0,11.0,18.0,17.0,5.0,8.0,7.0,F,0,42.0,F,H,54341.0,other
0,,3.0,10.0,1.0,5.0,12.0,13.0,9.0,18.0,5.0,68.0,30.0,49.0,68.0,10.0,18.0,25.0,L,0,67.0,F,U,0.0,other
1,15.0,2.0,2.0,1.0,1.0,15.0,12.5,12.5,10.0,18.0,28.0,11.0,24.0,22.0,4.0,10.0,9.0,A,0,41.0,M,H,42613.0,A
1,11.0,6.0,8.0,4.0,5.0,10.0,5.33,5.63,5.0,17.0,40.0,13.0,32.0,31.0,6.0,15.0,14.0,S,1,72.0,F,H,42613.0,S
0,,2.0,2.0,2.0,2.0,50.0,37.5,37.5,37.5,21.0,29.0,13.0,27.0,25.0,6.0,13.0,11.0,A,0,65.0,M,H,42613.0,A
0,,1.0,1.0,0.0,0.0,20.0,20.0,20.0,,20.0,20.0,10.0,16.0,16.0,4.0,4.0,5.0,F,0,67.0,M,H,58282.0,other
1,20.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,21.0,21.0,10.0,17.0,15.0,4.0,7.0,6.0,F,0,,F,U,40014.0,other
0,,1.0,1.0,0.0,0.0,20.0,20.0,20.0,,15.0,15.0,10.0,14.0,12.0,5.0,5.0,6.0,F,0,,M,U,93202.0,other
0,,1.0,5.0,1.0,4.0,30.0,30.0,16.0,30.0,17.0,93.0,13.0,30.0,53.0,6.0,14.0,22.0,A,0,35.0,M,H,122794.0,A
1,20.0,2.0,4.0,1.0,2.0,27.0,27.0,22.25,27.0,24.0,81.0,12.0,32.0,47.0,6.0,16.0,19.0,A,0,17.0,M,H,122794.0,A
1,8.0,6.0,7.0,4.0,4.0,8.0,7.67,7.43,7.0,17.0,28.0,13.0,24.0,24.0,6.0,12.0,10.0,A,1,73.0,F,H,122794.0,A
1,6.0,5.0,20.0,3.0,14.0,7.0,6.4,6.25,6.33,16.0,116.0,13.0,31.0,75.0,5.0,12.0,28.0,S,1,50.0,M,H,70182.0,S
0,,2.0,3.0,2.0,2.0,10.0,27.5,21.67,27.5,18.0,33.0,12.0,30.0,29.0,6.0,14.0,12.0,A,0,,M,U,60513.0,A
0,,1.0,2.0,1.0,1.0,6.0,25.0,15.5,25.0,15.0,17.0,12.0,17.0,15.0,5.0,7.0,6.0,N,0,43.0,F,H,59456.0,other
1,15.0,2.0,5.0,0.0,2.0,17.0,16.0,10.4,,24.0,75.0,10.0,29.0,49.0,4.0,4.0,18.0,A,0,44.0,F,H,59456.0,A
0,,4.0,9.0,1.0,4.0,20.0,13.75,10.67,10.0,16.0,65.0,15.0,36.0,52.0,6.0,16.0,19.0,S,1,55.0,F,U,0.0,S
1,2.0,5.0,14.0,3.0,8.0,5.0,4.8,5.29,4.33,20.0,92.0,13.0,34.0,71.0,6.0,16.0,27.0,A,1,75.0,F,H,80104.0,A
1,5.0,7.0,25.0,2.0,15.0,5.0,8.57,9.36,10.0,7.0,121.0,30.0,52.0,108.0,11.0,22.0,41.0,S,1,69.0,M,U,0.0,S
1,20.0,2.0,3.0,1.0,2.0,20.0,15.0,11.67,10.0,18.0,43.0,12.0,31.0,32.0,6.0,14.0,13.0,A,0,59.0,M,H,74919.0,A
0,,1.0,6.0,0.0,4.0,23.0,23.0,17.17,,17.0,113.0,6.0,11.0,38.0,2.0,2.0,14.0,A,0,81.0,M,H,74919.0,A
0,,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,21.0,21.0,11.0,18.0,16.0,5.0,8.0,7.0,F,0,40.0,F,H,74919.0,other
0,,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,21.0,21.0,8.0,15.0,13.0,3.0,6.0,5.0,F,0,51.0,M,U,0.0,other
1,25.0,2.0,2.0,2.0,2.0,15.0,10.0,10.0,10.0,16.0,31.0,12.0,25.0,23.0,4.0,9.0,8.0,A,0,33.0,F,U,56686.0,A
0,,1.0,1.0,0.0,0.0,20.0,20.0,20.0,,16.0,16.0,12.0,17.0,14.0,5.0,5.0,6.0,F,0,36.0,F,H,56686.0,other
1,11.0,2.0,18.0,1.0,9.0,5.0,6.0,5.11,7.0,15.0,113.0,13.0,32.0,71.0,5.0,13.0,27.0,S,1,,M,U,60152.0,S
0,,11.0,36.0,8.0,21.0,5.0,5.64,6.03,5.5,17.0,130.0,13.0,31.0,78.0,6.0,17.0,32.0,S,1,58.0,F,H,68588.0,S
1,11.0,5.0,11.0,2.0,6.0,8.0,8.6,7.64,9.0,18.0,75.0,13.0,33.0,54.0,6.0,15.0,20.0,A,0,67.0,F,H,55094.0,A
0,,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,16.0,16.0,11.0,16.0,14.0,5.0,7.0,6.0,F,0,57.0,F,H,83386.0,other
0,,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,16.0,16.0,11.0,16.0,13.0,4.0,6.0,5.0,F,0,45.0,M,H,56694.0,other
0,,3.0,25.0,1.0,9.0,10.0,6.67,8.2,5.0,18.0,103.0,9.0,23.0,63.0,4.0,11.0,24.0,S,1,43.0,F,U,66661.0,S
1,3.0,7.0,33.0,6.0,20.0,7.0,5.57,4.82,5.67,17.0,124.0,12.0,30.0,74.0,6.0,17.0,32.0,S,1,80.0,M,H,66661.0,S
1,15.0,1.0,6.0,0.0,4.0,15.0,15.0,8.67,,25.0,87.0,9.0,29.0,50.0,4.0,4.0,21.0,A,1,,F,U,0.0,A
0,,2.0,3.0,1.0,1.0,15.0,12.5,10.0,15.0,17.0,41.0,10.0,28.0,29.0,4.0,11.0,11.0,A,0,34.0,F,U,0.0,A
1,25.0,3.0,4.0,1.0,2.0,20.0,21.67,18.75,20.0,25.0,41.0,12.0,33.0,38.0,6.0,16.0,15.0,A,0,58.0,M,U,0.0,A
0,,0.0,1.0,0.0,0.0,15.0,0.0,15.0,,22.0,22.0,7.0,7.0,12.0,3.0,3.0,5.0,N,0,62.0,F,H,81018.0,other
1,15.0,2.0,2.0,1.0,1.0,15.0,10.0,10.0,5.0,17.0,32.0,10.0,23.0,21.0,4.0,9.0,8.0,A,0,55.0,F,H,81018.0,A
0,,3.0,15.0,0.0,5.0,15.0,13.67,10.47,,17.0,124.0,13.0,35.0,69.0,6.0,6.0,31.0,S,1,87.0,M,H,81018.0,S
1,15.0,0.0,1.0,0.0,0.0,15.0,0.0,15.0,,23.0,23.0,8.0,8.0,13.0,3.0,3.0,5.0,N,0,59.0,F,U,81018.0,other
0,,4.0,6.0,3.0,3.0,6.0,7.75,7.17,6.67,19.0,32.0,12.0,29.0,29.0,6.0,15.0,13.0,S,1,73.0,F,H,52611.0,S
0,,2.0,5.0,1.0,4.0,20.0,17.5,11.6,20.0,20.0,53.0,13.0,34.0,41.0,6.0,16.0,17.0,A,1,38.0,M,H,52611.0,A
0,,3.0,12.0,1.0,3.0,10.0,7.67,6.83,5.0,18.0,105.0,13.0,33.0,58.0,6.0,17.0,25.0,A,0,77.0,M,U,0.0,A
0,,4.0,8.0,3.0,4.0,14.0,14.0,11.0,14.33,21.0,75.0,13.0,29.0,49.0,6.0,14.0,19.0,A,0,0.0,M,U,54622.0,A
0,,6.0,20.0,3.0,13.0,9.0,7.67,6.15,6.67,17.0,126.0,20.0,39.0,77.0,8.0,18.0,33.0,F,1,,M,H,90636.0,other
0,,1.0,11.0,0.0,4.0,50.0,34.0,36.64,,18.0,86.0,13.0,35.0,65.0,6.0,6.0,25.0,A,0,71.0,F,H,88668.0,A
1,25.0,2.0,6.0,2.0,4.0,50.0,50.0,35.0,50.0,17.0,76.0,13.0,31.0,54.0,6.0,16.0,21.0,A,0,50.0,M,H,88668.0,A
1,21.0,1.0,22.0,0.0,7.0,20.0,15.0,22.18,,17.0,126.0,33.0,44.0,102.0,3.0,3.0,18.0,A,1,79.0,M,H,88668.0,A
0,,1.0,3.0,0.0,2.0,15.0,15.0,11.67,,26.0,44.0,9.0,28.0,32.0,4.0,4.0,13.0,A,0,55.0,F,H,64856.0,A
1,23.0,4.0,13.0,2.0,8.0,25.0,22.5,14.38,22.5,15.0,102.0,14.0,36.0,69.0,6.0,17.0,28.0,A,1,50.0,F,H,64856.0,A
0,,2.0,11.0,2.0,7.0,28.0,22.0,12.09,22.0,25.0,79.0,13.0,35.0,60.0,6.0,17.0,24.0,A,1,52.0,F,H,64856.0,A
1,11.0,1.0,12.0,0.0,5.0,10.0,10.0,13.25,,18.0,86.0,13.0,35.0,65.0,6.0,6.0,26.0,S,1,52.0,F,H,68375.0,S
0,,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,24.0,24.0,8.0,18.0,16.0,3.0,7.0,6.0,N,0,,F,U,0.0,other
0,,1.0,9.0,1.0,4.0,20.0,20.0,12.33,20.0,21.0,89.0,12.0,32.0,64.0,6.0,16.0,24.0,A,1,,M,U,69585.0,A
0,,4.0,4.0,2.0,2.0,16.0,11.5,11.5,10.0,18.0,36.0,12.0,33.0,32.0,6.0,16.0,14.0,A,1,68.0,F,H,69585.0,A
1,15.0,5.0,10.0,5.0,6.0,10.0,8.4,7.4,8.4,18.0,76.0,22.0,40.0,57.0,6.0,16.0,20.0,A,0,67.0,F,U,69585.0,A
0,,1.0,5.0,0.0,1.0,15.0,15.0,10.2,,18.0,64.0,14.0,30.0,54.0,4.0,4.0,18.0,A,0,65.0,M,H,64459.0,A
0,,2.0,2.0,2.0,2.0,15.0,12.5,12.5,12.5,17.0,24.0,7.0,17.0,15.0,4.0,9.0,7.0,N,0,83.0,F,H,64459.0,other
0,,1.0,7.0,0.0,3.0,20.0,20.0,7.43,,25.0,114.0,10.0,23.0,56.0,4.0,4.0,18.0,A,0,,M,U,0.0,A
0,,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,17.0,15.0,4.0,7.0,6.0,F,0,63.0,F,H,47135.0,other
0,,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,16.0,25.0,14.0,27.0,24.0,6.0,12.0,10.0,N,0,57.0,F,H,70339.0,other
1,3.0,4.0,18.0,3.0,13.0,5.0,4.75,3.72,5.67,17.0,128.0,12.0,27.0,67.0,5.0,13.0,28.0,S,1,81.0,F,U,70339.0,S
0,,6.0,17.0,2.0,8.0,17.0,15.67,13.59,16.0,16.0,104.0,14.0,36.0,70.0,6.0,17.0,29.0,S,1,72.0,M,H,70339.0,S
1,20.0,2.0,3.0,1.0,2.0,20.0,20.0,16.67,20.0,15.0,35.0,13.0,27.0,25.0,5.0,11.0,11.0,A,0,,F,U,0.0,A
1,10.0,5.0,13.0,3.0,5.0,20.0,22.4,18.46,22.33,15.0,89.0,14.0,34.0,65.0,6.0,17.0,25.0,A,1,58.0,F,H,55087.0,A
0,,3.0,3.0,1.0,1.0,25.0,19.33,19.33,13.0,18.0,29.0,14.0,28.0,25.0,6.0,13.0,11.0,A,0,,M,U,49203.0,A
0,,2.0,6.0,0.0,3.0,15.0,13.0,10.17,,9.0,69.0,18.0,36.0,56.0,5.0,5.0,17.0,A,0,,M,U,80479.0,A
0,,3.0,6.0,1.0,2.0,4.0,23.33,13.83,20.0,20.0,41.0,12.0,32.0,35.0,6.0,16.0,16.0,A,0,70.0,M,H,48019.0,A
0,,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,21.0,21.0,11.0,18.0,16.0,5.0,8.0,7.0,N,0,25.0,M,H,62339.0,other
0,,6.0,12.0,2.0,5.0,15.0,13.83,12.08,12.5,18.0,53.0,13.0,35.0,46.0,6.0,17.0,19.0,A,1,64.0,F,H,0.0,A
0,,2.0,6.0,0.0,1.0,15.0,15.0,13.67,,26.0,76.0,9.0,28.0,50.0,4.0,4.0,18.0,A,0,68.0,F,H,91382.0,A
1,10.0,3.0,6.0,2.0,3.0,20.0,16.67,13.33,15.0,26.0,65.0,10.0,32.0,44.0,5.0,16.0,17.0,A,0,,U,U,91382.0,A
1,15.0,2.0,6.0,1.0,2.0,15.0,11.0,7.17,7.0,16.0,96.0,12.0,27.0,51.0,5.0,11.0,20.0,A,0,49.0,M,H,91382.0,A
0,,1.0,5.0,0.0,2.0,15.0,15.0,21.0,,25.0,124.0,9.0,27.0,48.0,4.0,4.0,21.0,A,0,60.0,M,H,91382.0,A
1,15.0,1.0,5.0,0.0,2.0,15.0,15.0,9.2,,18.0,92.0,10.0,27.0,39.0,4.0,4.0,15.0,A,0,,F,U,0.0,A
0,,3.0,11.0,2.0,4.0,25.0,16.67,16.73,17.5,18.0,52.0,13.0,33.0,47.0,6.0,17.0,19.0,A,1,31.0,M,U,0.0,A
0,,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,24.0,24.0,7.0,17.0,15.0,3.0,7.0,6.0,N,0,63.0,M,H,72339.0,other
0,,3.0,26.0,2.0,15.0,10.0,8.33,7.15,9.0,21.0,122.0,12.0,30.0,78.0,5.0,13.0,30.0,A,1,72.0,F,H,72339.0,A
1,3.0,9.0,16.0,7.0,10.0,3.0,3.17,3.22,3.21,18.0,53.0,14.0,33.0,45.0,6.0,17.0,19.0,S,1,30.0,M,U,0.0,S
1,11.0,4.0,7.0,3.0,5.0,11.0,10.75,9.0,10.33,23.0,65.0,12.0,28.0,43.0,6.0,13.0,16.0,A,0,55.0,F,H,72339.0,A
0,,3.0,7.0,3.0,7.0,5.0,9.0,7.0,9.0,16.0,76.0,13.0,31.0,55.0,5.0,12.0,18.0,S,1,56.0,F,H,72339.0,S
1,20.0,1.0,8.0,1.0,4.0,16.0,16.0,11.13,16.0,20.0,75.0,13.0,31.0,52.0,6.0,14.0,21.0,A,1,47.0,M,H,72339.0,A
0,,8.0,22.0,5.0,12.0,3.0,4.25,3.55,4.6,20.0,77.0,7.0,28.0,54.0,4.0,15.0,22.0,S,1,75.0,U,H,72339.0,S
0,,2.0,10.0,0.0,5.0,15.0,13.5,11.9,,18.0,124.0,13.0,33.0,62.0,6.0,6.0,29.0,A,1,45.0,F,H,72339.0,A
1,10.0,8.0,47.0,7.0,25.0,8.0,8.63,7.62,8.57,20.0,130.0,10.0,32.0,83.0,5.0,16.0,32.0,S,1,45.0,F,H,72339.0,S
1,10.0,2.0,12.0,1.0,7.0,18.0,17.0,9.67,18.0,17.0,128.0,16.0,37.0,83.0,6.0,16.0,31.0,A,1,73.0,M,U,0.0,A
0,,1.0,2.0,0.0,0.0,16.0,16.0,13.0,,18.0,37.0,10.0,24.0,23.0,4.0,4.0,9.0,A,0,46.0,F,U,76959.0,A
1,15.0,1.0,7.0,0.0,3.0,15.0,15.0,8.43,,25.0,92.0,9.0,29.0,54.0,4.0,4.0,23.0,A,0,40.0,F,H,76959.0,A
0,,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,17.0,17.0,11.0,16.0,14.0,5.0,7.0,6.0,F,0,,F,U,95776.0,other
0,,2.0,13.0,0.0,5.0,50.0,50.0,32.15,,17.0,126.0,24.0,46.0,100.0,8.0,8.0,38.0,A,0,,M,H,95776.0,A
1,16.0,1.0,7.0,0.0,2.0,16.0,16.0,15.86,,20.0,84.0,15.0,30.0,60.0,4.0,4.0,18.0,A,0,79.0,F,H,93770.0,A
1,5.0,8.0,52.0,5.0,19.0,5.0,5.0,5.0,5.0,6.0,57.0,34.0,54.0,88.0,13.0,22.0,23.0,A,0,,F,U,0.0,A
1,10.0,6.0,20.0,2.0,10.0,3.0,4.83,3.25,5.0,19.0,113.0,14.0,35.0,63.0,6.0,17.0,26.0,S,1,,F,U,0.0,S
0,,1.0,6.0,0.0,3.0,20.0,20.0,13.67,,26.0,81.0,9.0,26.0,52.0,4.0,4.0,19.0,A,1,75.0,U,H,88147.0,A
1,24.0,1.0,13.0,0.0,7.0,18.0,18.0,12.62,,24.0,92.0,11.0,30.0,69.0,5.0,5.0,24.0,A,1,49.0,F,U,88147.0,A
0,,2.0,2.0,1.0,1.0,20.0,15.0,15.0,20.0,24.0,32.0,9.0,24.0,23.0,4.0,10.0,9.0,A,0,53.0,M,H,88147.0,A
1,30.0,2.0,5.0,1.0,2.0,25.0,20.0,19.4,20.0,18.0,40.0,12.0,34.0,36.0,5.0,16.0,15.0,A,0,82.0,F,H,76673.0,A
1,5.0,5.0,14.0,4.0,11.0,5.0,6.4,5.36,6.75,17.0,122.0,13.0,31.0,65.0,6.0,14.0,28.0,A,1,51.0,M,H,122155.0,A
1,20.0,1.0,6.0,1.0,2.0,20.0,25.0,26.67,25.0,18.0,44.0,15.0,35.0,40.0,6.0,17.0,17.0,A,1,,F,U,0.0,A
